main_category,sub_category,avis_du_jour_url,Nombre_avis_du_jour,total_url,Nombre_total_url
Approvisionnement (biens),Aérospatiale,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=1&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),Alimentation,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=2&prov=AccueilToutesCategories,4 avis
Approvisionnement (biens),Ameublement,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=3&prov=AccueilToutesCategories,18 avis
Approvisionnement (biens),Armement,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=4&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),"Communication, détection et fibres optiques",,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=5&prov=AccueilToutesCategories,6 avis
Approvisionnement (biens),Constructions préfabriquées,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=6&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=6&prov=AccueilToutesCategories,3 avis
Approvisionnement (biens),Cosmétiques et articles de toilette,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=7&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),Énergie,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=8&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),Entretien d’équipement de bureau et d’informatique,,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),"Équipement de lutte contre l’incendie, de sécurité et de protection",https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=10&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=10&prov=AccueilToutesCategories,14 avis
Approvisionnement (biens),Équipement de transport et pièces de rechange,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=11&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=11&prov=AccueilToutesCategories,42 avis
Approvisionnement (biens),Équipement industriel,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=12&prov=AccueilToutesCategories,18 avis
Approvisionnement (biens),Fourniture et équipement médicaux et produits pharmaceutiques,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=13&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=13&prov=AccueilToutesCategories,75 avis
Approvisionnement (biens),Instruments scientifiques,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=14&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=14&prov=AccueilToutesCategories,23 avis
Approvisionnement (biens),Intégration de systèmes,,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),Machinerie et outils,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=16&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=16&prov=AccueilToutesCategories,19 avis
Approvisionnement (biens),Marine,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=17&prov=AccueilToutesCategories,3 avis
Approvisionnement (biens),Matériaux de construction,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=18&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=18&prov=AccueilToutesCategories,39 avis
Approvisionnement (biens),Matériel de bureau,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=19&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),Matériel de climatisation et de réfrigération,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=20&prov=AccueilToutesCategories,10 avis
Approvisionnement (biens),Matériel informatique et logiciel,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=21&prov=AccueilToutesCategories,3 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=21&prov=AccueilToutesCategories,77 avis
Approvisionnement (biens),"Moteurs, turbines, composants et accessoires connexes",https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=22&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=22&prov=AccueilToutesCategories,7 avis
Approvisionnement (biens),Papeterie et fournitures de bureau,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=23&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=23&prov=AccueilToutesCategories,3 avis
Approvisionnement (biens),Préparation alimentaire et équipement de service,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=24&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=24&prov=AccueilToutesCategories,7 avis
Approvisionnement (biens),Produits divers,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=25&prov=AccueilToutesCategories,7 avis
Approvisionnement (biens),Produits électriques et électroniques,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=26&prov=AccueilToutesCategories,2 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=26&prov=AccueilToutesCategories,24 avis
Approvisionnement (biens),Produits et spécialités chimiques,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=27&prov=AccueilToutesCategories,15 avis
Approvisionnement (biens),Produits finis,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=28&prov=AccueilToutesCategories,14 avis
Approvisionnement (biens),"Publications, formulaires et articles en papier",,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),Textiles et vêtements,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=30&prov=AccueilToutesCategories,14 avis
Approvisionnement (biens),Véhicules spéciaux,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=31&prov=AccueilToutesCategories,37 avis
Approvisionnement (biens),Indéterminé,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=57&prov=AccueilToutesCategories,8 avis
Approvisionnement (biens),Concession,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=54&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),"Contrôle de la qualité, essais et inspections et services de représentants techniques",,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=32&prov=AccueilToutesCategories,15 avis
Approvisionnement (biens),"Entretien, réparation, modification, réfection et installation de biens et d’équipement",https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=33&prov=AccueilToutesCategories,3 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=33&prov=AccueilToutesCategories,84 avis
Approvisionnement (biens),Études spéciales et analyses,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=34&prov=AccueilToutesCategories,8 avis
Approvisionnement (biens),Exploitation des installations gouvernementales,,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),Location à bail ou location d’installations immobilières,,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),Location à bail/Location d’équipement,,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),Recherche et développement (R et D),,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),Services d’architecture et d’ingénierie,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=39&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=39&prov=AccueilToutesCategories,120 avis
Approvisionnement (biens),"Services de communication, de photographie, de cartographie, d’impression et de publication",,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=40&prov=AccueilToutesCategories,10 avis
Approvisionnement (biens),Services de garde et autres services connexes,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=41&prov=AccueilToutesCategories,10 avis
Approvisionnement (biens),Services de ressources naturelles,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=42&prov=AccueilToutesCategories,3 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=42&prov=AccueilToutesCategories,27 avis
Approvisionnement (biens),Services de santé et services sociaux,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=43&prov=AccueilToutesCategories,26 avis
Approvisionnement (biens),Services de soutien professionnel et administratif et services de soutien à la gestion,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=44&prov=AccueilToutesCategories,2 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=44&prov=AccueilToutesCategories,32 avis
Approvisionnement (biens),"Services de transport, de voyage et de déménagement",https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=45&prov=AccueilToutesCategories,2 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=45&prov=AccueilToutesCategories,31 avis
Approvisionnement (biens),Services environnementaux,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=46&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=46&prov=AccueilToutesCategories,29 avis
Approvisionnement (biens),Services financiers et autres services connexes,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=47&prov=AccueilToutesCategories,2 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=47&prov=AccueilToutesCategories,10 avis
Approvisionnement (biens),Services pédagogiques et formation,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=48&prov=AccueilToutesCategories,6 avis
Approvisionnement (biens),Services publics,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=49&prov=AccueilToutesCategories,4 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=49&prov=AccueilToutesCategories,49 avis
Approvisionnement (biens),Traitement de l’information et services de télécommunications connexes,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=50&prov=AccueilToutesCategories,60 avis
Approvisionnement (biens),Autres travaux de construction,,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),Bâtiments,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=52&prov=AccueilToutesCategories,6 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=52&prov=AccueilToutesCategories,358 avis
Approvisionnement (biens),Ouvrages de génie civil,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=53&prov=AccueilToutesCategories,6 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=53&prov=AccueilToutesCategories,211 avis
Approvisionnement (biens),Vente de biens immeubles,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=56&prov=AccueilToutesCategories,2 avis
Approvisionnement (biens),Vente de biens meubles,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=55&prov=AccueilToutesCategories,2 avis
